A3, FAM, Unknown	Cycles	Fluorescence (R)	
G3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2471            	
                	2     	2264            	
                	3     	2063            	
                	4     	1935            	
                	5     	1835            	
                	6     	1775            	
                	7     	1732            	
                	8     	1694            	
                	9     	1669            	
                	10    	1651            	
                	11    	1638            	
                	12    	1632            	
                	13    	1635            	
                	14    	1617            	
                	15    	1606            	
                	16    	1618            	
                	17    	1615            	
                	18    	1621            	
                	19    	1639            	
                	20    	1628            	
                	21    	1604            	
                	22    	1598            	
                	23    	1583            	
                	24    	2351            	
                	25    	2046            	
                	26    	1937            	
                	27    	1859            	
                	28    	1804            	
                	29    	1766            	
                	30    	1739            	
                	31    	1714            	
                	32    	1706            	
                	33    	1689            	
                	34    	1682            	
                	35    	1674            	
                	36    	1666            	
                	37    	1649            	
                	38    	1641            	
                	39    	1639            	
                	40    	1628            	
                	41    	1631            	
                	42    	1620            	
                	43    	1640            	
                	44    	1638            	
                	45    	1653            	
                	46    	1664            	
                	47    	1681            	
                	48    	1696            	
                	49    	1690            	
                	50    	1692            	

H3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2351            	
                	2     	2121            	
                	3     	1923            	
                	4     	1787            	
                	5     	1692            	
                	6     	1632            	
                	7     	1586            	
                	8     	1553            	
                	9     	1530            	
                	10    	1501            	
                	11    	1483            	
                	12    	1466            	
                	13    	1457            	
                	14    	1448            	
                	15    	1440            	
                	16    	1430            	
                	17    	1446            	
                	18    	1442            	
                	19    	1435            	
                	20    	1434            	
                	21    	1453            	
                	22    	1443            	
                	23    	1434            	
                	24    	2153            	
                	25    	1850            	
                	26    	1743            	
                	27    	1668            	
                	28    	1616            	
                	29    	1573            	
                	30    	1540            	
                	31    	1519            	
                	32    	1496            	
                	33    	1473            	
                	34    	1464            	
                	35    	1448            	
                	36    	1445            	
                	37    	1431            	
                	38    	1427            	
                	39    	1444            	
                	40    	1436            	
                	41    	1448            	
                	42    	1451            	
                	43    	1452            	
                	44    	1464            	
                	45    	1454            	
                	46    	1452            	
                	47    	1446            	
                	48    	1439            	
                	49    	1427            	
                	50    	1434            	

