A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1100            	
                	2     	1095            	
                	3     	1109            	
                	4     	1103            	
                	5     	1090            	
                	6     	1089            	
                	7     	1088            	
                	8     	1123            	
                	9     	1123            	
                	10    	1144            	
                	11    	1145            	
                	12    	1139            	
                	13    	1144            	
                	14    	1142            	
                	15    	1138            	
                	16    	1138            	
                	17    	1132            	
                	18    	1130            	
                	19    	1128            	
                	20    	1123            	
                	21    	1128            	
                	22    	1118            	
                	23    	1114            	
                	24    	1104            	
                	25    	1100            	
                	26    	1093            	
                	27    	1088            	
                	28    	1089            	
                	29    	1083            	
                	30    	1076            	
                	31    	1071            	
                	32    	1074            	
                	33    	1066            	
                	34    	1069            	
                	35    	1062            	
                	36    	1096            	
                	37    	1085            	
                	38    	1078            	
                	39    	1082            	
                	40    	1080            	
                	41    	1076            	
                	42    	1078            	
                	43    	1070            	
                	44    	1074            	
                	45    	1063            	
                	46    	1061            	
                	47    	1056            	
                	48    	1053            	
                	49    	1056            	
                	50    	1046            	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1273            	
                	2     	1267            	
                	3     	1310            	
                	4     	1555            	
                	5     	1536            	
                	6     	1521            	
                	7     	1501            	
                	8     	1489            	
                	9     	1474            	
                	10    	1467            	
                	11    	1454            	
                	12    	1453            	
                	13    	1440            	
                	14    	1441            	
                	15    	1429            	
                	16    	1418            	
                	17    	1409            	
                	18    	1403            	
                	19    	1392            	
                	20    	1399            	
                	21    	1395            	
                	22    	1397            	
                	23    	1387            	
                	24    	1405            	
                	25    	1403            	
                	26    	1428            	
                	27    	1421            	
                	28    	1407            	
                	29    	1404            	
                	30    	1406            	
                	31    	1415            	
                	32    	1404            	
                	33    	1416            	
                	34    	1413            	
                	35    	1416            	
                	36    	1413            	
                	37    	1410            	
                	38    	1412            	
                	39    	1467            	
                	40    	1482            	
                	41    	1481            	
                	42    	1475            	
                	43    	1476            	
                	44    	1473            	
                	45    	1474            	
                	46    	1475            	
                	47    	1473            	
                	48    	1471            	
                	49    	1472            	
                	50    	1464            	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1602            	
                	2     	1589            	
                	3     	1585            	
                	4     	1580            	
                	5     	1577            	
                	6     	1566            	
                	7     	1577            	
                	8     	1571            	
                	9     	1562            	
                	10    	1577            	
                	11    	1567            	
                	12    	1580            	
                	13    	1579            	
                	14    	1580            	
                	15    	1568            	
                	16    	1573            	
                	17    	1772            	
                	18    	1755            	
                	19    	1742            	
                	20    	1733            	
                	21    	1748            	
                	22    	1749            	
                	23    	1740            	
                	24    	1735            	
                	25    	1723            	
                	26    	1754            	
                	27    	1775            	
                	28    	1763            	
                	29    	1758            	
                	30    	1744            	
                	31    	1755            	
                	32    	1754            	
                	33    	1756            	
                	34    	1748            	
                	35    	1767            	
                	36    	1764            	
                	37    	1763            	
                	38    	1758            	
                	39    	1748            	
                	40    	1750            	
                	41    	1752            	
                	42    	1749            	
                	43    	1774            	
                	44    	1767            	
                	45    	1772            	
                	46    	1763            	
                	47    	1768            	
                	48    	1835            	
                	49    	1823            	
                	50    	1822            	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1881            	
                	2     	1882            	
                	3     	1865            	
                	4     	1853            	
                	5     	1855            	
                	6     	1839            	
                	7     	1833            	
                	8     	1824            	
                	9     	1855            	
                	10    	1840            	
                	11    	1833            	
                	12    	1823            	
                	13    	1819            	
                	14    	1806            	
                	15    	1800            	
                	16    	1794            	
                	17    	1782            	
                	18    	1775            	
                	19    	1787            	
                	20    	1877            	
                	21    	1872            	
                	22    	1868            	
                	23    	1861            	
                	24    	1856            	
                	25    	1854            	
                	26    	1855            	
                	27    	1848            	
                	28    	1849            	
                	29    	1856            	
                	30    	1871            	
                	31    	1903            	
                	32    	1900            	
                	33    	1910            	
                	34    	1911            	
                	35    	1906            	
                	36    	1910            	
                	37    	1940            	
                	38    	1953            	
                	39    	1952            	
                	40    	1973            	
                	41    	2005            	
                	42    	2010            	
                	43    	2009            	
                	44    	2004            	
                	45    	2004            	
                	46    	1998            	
                	47    	2000            	
                	48    	2001            	
                	49    	1998            	
                	50    	1997            	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1951            	
                	2     	1965            	
                	3     	1959            	
