A3, FAM, Unknown	Cycles	Fluorescence (R)	
G3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1713            	
                	2     	1695            	
                	3     	1716            	
                	4     	1719            	
                	5     	1709            	
                	6     	1702            	
                	7     	1705            	
                	8     	1736            	
                	9     	1739            	
                	10    	1735            	
                	11    	1730            	
                	12    	1743            	
                	13    	1744            	
                	14    	1741            	
                	15    	1738            	
                	16    	1736            	
                	17    	1736            	
                	18    	1743            	
                	19    	1744            	
                	20    	1749            	
                	21    	1779            	
                	22    	1796            	
                	23    	1838            	
                	24    	1836            	
                	25    	1858            	
                	26    	1854            	
                	27    	1951            	
                	28    	1940            	
                	29    	1935            	
                	30    	1956            	
                	31    	1956            	
                	32    	1960            	
                	33    	2044            	
                	34    	2066            	
                	35    	2084            	
                	36    	2091            	
                	37    	2090            	
                	38    	2092            	
                	39    	2091            	
                	40    	2094            	
                	41    	2100            	
                	42    	2186            	
                	43    	2204            	
                	44    	2217            	
                	45    	2219            	
                	46    	2224            	
                	47    	2223            	
                	48    	2294            	
                	49    	2305            	
                	50    	2308            	

H3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1449            	
                	2     	1456            	
                	3     	1447            	
                	4     	1438            	
                	5     	1439            	
                	6     	1455            	
                	7     	1447            	
                	8     	1442            	
                	9     	1468            	
                	10    	1456            	
                	11    	1455            	
                	12    	1457            	
                	13    	1482            	
                	14    	1482            	
                	15    	1478            	
                	16    	1468            	
                	17    	1501            	
                	18    	1502            	
                	19    	1496            	
                	20    	1511            	
                	21    	1508            	
                	22    	1500            	
                	23    	1514            	
                	24    	1514            	
                	25    	1501            	
                	26    	1513            	
                	27    	1536            	
                	28    	1531            	
                	29    	1537            	
                	30    	1532            	
                	31    	1528            	
                	32    	1528            	
                	33    	1516            	
                	34    	1716            	
                	35    	1748            	
                	36    	1730            	
                	37    	1713            	
                	38    	1695            	
                	39    	1693            	
                	40    	1686            	
                	41    	1675            	
                	42    	1670            	
                	43    	1700            	
                	44    	1696            	
                	45    	1694            	
                	46    	1690            	
                	47    	1699            	
                	48    	1747            	
                	49    	1737            	
                	50    	1743            	

