A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	980             	
                	2     	968             	
                	3     	994             	
                	4     	990             	
                	5     	981             	
                	6     	971             	
                	7     	968             	
                	8     	961             	
                	9     	958             	
                	10    	949             	
                	11    	941             	
                	12    	925             	
                	13    	966             	
                	14    	1016            	
                	15    	1003            	
                	16    	993             	
                	17    	976             	
                	18    	970             	
                	19    	958             	
                	20    	913             	
                	21    	902             	
                	22    	893             	
                	23    	886             	
                	24    	891             	
                	25    	882             	
                	26    	886             	
                	27    	880             	
                	28    	874             	
                	29    	868             	
                	30    	862             	
                	31    	860             	
                	32    	851             	
                	33    	903             	
                	34    	903             	
                	35    	903             	
                	36    	894             	
                	37    	890             	
                	38    	882             	
                	39    	876             	
                	40    	866             	
                	41    	862             	
                	42    	872             	
                	43    	865             	
                	44    	859             	
                	45    	855             	
                	46    	855             	
                	47    	853             	
                	48    	849             	
                	49    	840             	
                	50    	841             	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1195            	
                	2     	1189            	
                	3     	1178            	
                	4     	1168            	
                	5     	1218            	
                	6     	1210            	
                	7     	1207            	
                	8     	1217            	
                	9     	1251            	
                	10    	1250            	
                	11    	1301            	
                	12    	1293            	
                	13    	1275            	
                	14    	1274            	
                	15    	1328            	
                	16    	1317            	
                	17    	1312            	
                	18    	1307            	
                	19    	1302            	
                	20    	1298            	
                	21    	1294            	
                	22    	1286            	
                	23    	1279            	
                	24    	1279            	
                	25    	1272            	
                	26    	1275            	
                	27    	1307            	
                	28    	1348            	
                	29    	1338            	
                	30    	1334            	
                	31    	1333            	
                	32    	1336            	
                	33    	1336            	
                	34    	1337            	
                	35    	1379            	
                	36    	1373            	
                	37    	1382            	
                	38    	1375            	
                	39    	1370            	
                	40    	1368            	
                	41    	1364            	
                	42    	1391            	
                	43    	1390            	
                	44    	1383            	
                	45    	1394            	
                	46    	1399            	
                	47    	1400            	
                	48    	1396            	
                	49    	1398            	
                	50    	1396            	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1315            	
                	2     	1312            	
                	3     	1309            	
                	4     	1308            	
                	5     	1315            	
                	6     	1304            	
                	7     	1371            	
                	8     	1367            	
                	9     	1375            	
                	10    	1381            	
                	11    	1376            	
                	12    	1370            	
                	13    	1376            	
                	14    	1479            	
                	15    	1480            	
                	16    	1470            	
                	17    	1460            	
                	18    	1449            	
                	19    	1443            	
                	20    	1475            	
                	21    	1474            	
                	22    	1481            	
                	23    	1474            	
                	24    	1475            	
                	25    	1551            	
                	26    	1543            	
                	27    	1538            	
                	28    	1540            	
                	29    	1532            	
                	30    	1530            	
                	31    	1528            	
                	32    	1521            	
                	33    	1520            	
                	34    	1532            	
                	35    	1530            	
                	36    	1527            	
                	37    	1523            	
                	38    	1514            	
                	39    	1515            	
                	40    	1509            	
                	41    	1504            	
                	42    	1511            	
                	43    	1509            	
                	44    	1502            	
                	45    	1550            	
                	46    	1551            	
                	47    	1545            	
                	48    	1539            	
                	49    	1533            	
                	50    	1538            	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1529            	
                	2     	1523            	
                	3     	1547            	
                	4     	1551            	
                	5     	1554            	
                	6     	1573            	
                	7     	1569            	
                	8     	1550            	
                	9     	1544            	
                	10    	1553            	
                	11    	1556            	
                	12    	1562            	
                	13    	1599            	
                	14    	1605            	
                	15    	1603            	
                	16    	1598            	
                	17    	1589            	
                	18    	1584            	
                	19    	1582            	
                	20    	1583            	
                	21    	1577            	
                	22    	1621            	
                	23    	1605            	
                	24    	1599            	
                	25    	1591            	
                	26    	1777            	
                	27    	1773            	
                	28    	1755            	
                	29    	1745            	
                	30    	1732            	
                	31    	1823            	
                	32    	1809            	
                	33    	1806            	
                	34    	1788            	
                	35    	1773            	
                	36    	1775            	
                	37    	1783            	
                	38    	1776            	
                	39    	1767            	
                	40    	1759            	
                	41    	1832            	
                	42    	1826            	
                	43    	1819            	
                	44    	1813            	
                	45    	1805            	
                	46    	1792            	
                	47    	1798            	
                	48    	1789            	
                	49    	1792            	
                	50    	1962            	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1675            	
                	2     	1681            	
                	3     	1711            	
                	4     	1712            	
                	5     	1721            	
                	6     	1732            	
                	7     	1731            	
                	8     	1731            	
                	9     	1727            	
