C1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	818             	
                	2     	812             	
                	3     	807             	
                	4     	802             	
                	5     	802             	
                	6     	802             	
                	7     	798             	
                	8     	793             	
                	9     	791             	
                	10    	794             	
                	11    	791             	
                	12    	785             	
                	13    	785             	
                	14    	776             	
                	15    	772             	
                	16    	773             	
                	17    	767             	
                	18    	776             	
                	19    	776             	
                	20    	774             	
                	21    	769             	
                	22    	762             	
                	23    	765             	
                	24    	769             	
                	25    	762             	
                	26    	773             	
                	27    	766             	
                	28    	765             	
                	29    	763             	
                	30    	761             	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	946             	
                	2     	944             	
                	3     	932             	
                	4     	927             	
                	5     	926             	
                	6     	927             	
                	7     	922             	
                	8     	918             	
                	9     	922             	
                	10    	929             	
                	11    	927             	
                	12    	924             	
                	13    	918             	
                	14    	918             	
                	15    	923             	
                	16    	920             	
                	17    	964             	
                	18    	960             	
                	19    	968             	
                	20    	962             	
                	21    	957             	
                	22    	948             	
                	23    	948             	
                	24    	940             	
                	25    	949             	
                	26    	963             	
                	27    	959             	
                	28    	956             	
                	29    	952             	
                	30    	949             	

D1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	920             	
                	2     	913             	
                	3     	897             	
                	4     	893             	
                	5     	887             	
                	6     	887             	
                	7     	880             	
                	8     	882             	
                	9     	873             	
                	10    	873             	
                	11    	881             	
                	12    	882             	
                	13    	880             	
                	14    	880             	
                	15    	871             	
                	16    	870             	
                	17    	941             	
                	18    	939             	
                	19    	931             	
                	20    	924             	
                	21    	921             	
                	22    	929             	
                	23    	933             	
                	24    	924             	
                	25    	923             	
                	26    	915             	
                	27    	916             	
                	28    	911             	
                	29    	912             	
                	30    	900             	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1097            	
                	2     	1087            	
                	3     	1072            	
                	4     	1064            	
                	5     	1060            	
                	6     	1045            	
                	7     	1042            	
                	8     	1042            	
                	9     	1036            	
                	10    	1059            	
                	11    	1048            	
                	12    	1044            	
                	13    	1035            	
                	14    	1026            	
                	15    	1019            	
                	16    	1013            	
                	17    	1008            	
                	18    	1001            	
                	19    	1008            	
                	20    	1000            	
                	21    	1001            	
                	22    	996             	
                	23    	985             	
                	24    	984             	
                	25    	996             	
                	26    	992             	
                	27    	989             	
                	28    	990             	
                	29    	990             	
                	30    	984             	

E1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1862            	
                	2     	1857            	
