A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	5     	3142            	
                	6     	3155            	
                	7     	3160            	
                	8     	3168            	
                	9     	3275            	
                	10    	3307            	
                	11    	3325            	
                	12    	3324            	
                	13    	3336            	
                	14    	3420            	
                	15    	3433            	
                	16    	3440            	
                	17    	3451            	
                	18    	3454            	
                	19    	3472            	
                	20    	3482            	
                	21    	3481            	
                	22    	3486            	
                	23    	3496            	
                	24    	3502            	
                	25    	3553            	
                	26    	3563            	
                	27    	3578            	
                	28    	3686            	
                	29    	3732            	
                	30    	3752            	
                	31    	3756            	
                	32    	3768            	
                	33    	3884            	
                	34    	3899            	
                	35    	3904            	
                	36    	3910            	
                	37    	3926            	
                	38    	3930            	
                	39    	3944            	
                	40    	3950            	
                	41    	3956            	
                	42    	3968            	
                	43    	3974            	
                	44    	3978            	
                	45    	3982            	
                	46    	4004            	
                	47    	4018            	
                	48    	4030            	
                	49    	4033            	
                	50    	4851            	

H3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2842            	
                	2     	2844            	
                	3     	3016            	
                	4     	3036            	
                	5     	3047            	
                	6     	3047            	
                	7     	3050            	
                	8     	3050            	
                	9     	3055            	
                	10    	3096            	
                	11    	3127            	
                	12    	3123            	
                	13    	3118            	
                	14    	3115            	
                	15    	3114            	
                	16    	3104            	
                	17    	3114            	
                	18    	3116            	
                	19    	3642            	
                	20    	3617            	
                	21    	3661            	
                	22    	3733            	
                	23    	3722            	
                	24    	3714            	
                	25    	3719            	
                	26    	3710            	
                	27    	3707            	
                	28    	3721            	
                	29    	3722            	
                	30    	3722            	
                	31    	3733            	
                	32    	3742            	
                	33    	3739            	
                	34    	3737            	
                	35    	3732            	
                	36    	3766            	
                	37    	3775            	
                	38    	3771            	
                	39    	3790            	
                	40    	3794            	
                	41    	3799            	
                	42    	3800            	
                	43    	3826            	
                	44    	3852            	
                	45    	3861            	
                	46    	3866            	
                	47    	3869            	
                	48    	3866            	
                	49    	3881            	
                	50    	3887            	

