A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2102            	
                	2     	1972            	
                	3     	1823            	
                	4     	1714            	
                	5     	1632            	
                	6     	1577            	
                	7     	1536            	
                	8     	1500            	
                	9     	1468            	
                	10    	1448            	
                	11    	1431            	
                	12    	1418            	
                	13    	1411            	
                	14    	1400            	
                	15    	1392            	
                	16    	1380            	
                	17    	1903            	
                	18    	1633            	
                	19    	1562            	
                	20    	1512            	
                	21    	1485            	
                	22    	1458            	
                	23    	1435            	
                	24    	1427            	
                	25    	1421            	
                	26    	1416            	
                	27    	1411            	
                	28    	1417            	
                	29    	1424            	
                	30    	1438            	
                	31    	1448            	
                	32    	1477            	
                	33    	1489            	
                	34    	1497            	
                	35    	1512            	
                	36    	1519            	
                	37    	1542            	
                	38    	1555            	
                	39    	1557            	
                	40    	1558            	
                	41    	1628            	
                	42    	1683            	
                	43    	1709            	
                	44    	1724            	
                	45    	1741            	
                	46    	1752            	
                	47    	1757            	
                	48    	1767            	
                	49    	1793            	
                	50    	1816            	

H3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1834            	
                	2     	1710            	
                	3     	1570            	
                	4     	1472            	
                	5     	1399            	
                	6     	1344            	
                	7     	1299            	
                	8     	1267            	
                	9     	1240            	
                	10    	1219            	
                	11    	1201            	
                	12    	1179            	
                	13    	1174            	
                	14    	1156            	
                	15    	1159            	
                	16    	1146            	
                	17    	1703            	
                	18    	1440            	
                	19    	1374            	
                	20    	1333            	
                	21    	1304            	
                	22    	1282            	
                	23    	1265            	
                	24    	1255            	
                	25    	1259            	
                	26    	1262            	
                	27    	1266            	
                	28    	1266            	
                	29    	1276            	
                	30    	1288            	
                	31    	1310            	
                	32    	1332            	
                	33    	1335            	
                	34    	1351            	
                	35    	1356            	
                	36    	1373            	
                	37    	1383            	
                	38    	1394            	
                	39    	1425            	
                	40    	1451            	
                	41    	1478            	
                	42    	1508            	
                	43    	1548            	
                	44    	1578            	
                	45    	1595            	
                	46    	1601            	
                	47    	1622            	
                	48    	1625            	
                	49    	1638            	
                	50    	1676            	

