A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	793             	
                	2     	780             	
                	3     	782             	
                	4     	778             	
                	5     	782             	
                	6     	796             	
                	7     	795             	
                	8     	809             	
                	9     	808             	
                	10    	805             	
                	11    	798             	
                	12    	815             	
                	13    	839             	
                	14    	843             	
                	15    	850             	
                	16    	852             	
                	17    	850             	
                	18    	845             	
                	19    	843             	
                	20    	834             	
                	21    	841             	
                	22    	837             	
                	23    	832             	
                	24    	827             	
                	25    	825             	
                	26    	818             	
                	27    	817             	
                	28    	815             	
                	29    	811             	
                	30    	810             	
                	31    	848             	
                	32    	846             	
                	33    	865             	
                	34    	861             	
                	35    	856             	
                	36    	856             	
                	37    	854             	
                	38    	851             	
                	39    	843             	
                	40    	841             	
                	41    	840             	
                	42    	832             	
                	43    	827             	
                	44    	825             	
                	45    	823             	
                	46    	836             	
                	47    	837             	
                	48    	882             	
                	49    	879             	
                	50    	872             	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1239            	
                	2     	1265            	
                	3     	1274            	
                	4     	1282            	
                	5     	1299            	
                	6     	1313            	
                	7     	1337            	
                	8     	1337            	
                	9     	1350            	
                	10    	1354            	
                	11    	1374            	
                	12    	1406            	
                	13    	1416            	
                	14    	1416            	
                	15    	1416            	
                	16    	1442            	
                	17    	1448            	
                	18    	1446            	
                	19    	1450            	
                	20    	1450            	
                	21    	1501            	
                	22    	1505            	
                	23    	1505            	
                	24    	1500            	
                	25    	1499            	
                	26    	1501            	
                	27    	1567            	
                	28    	1572            	
                	29    	1577            	
                	30    	1585            	
                	31    	1586            	
                	32    	1585            	
                	33    	1594            	
                	34    	1591            	
                	35    	1598            	
                	36    	1645            	
                	37    	1656            	
                	38    	1662            	
                	39    	1669            	
                	40    	1680            	
                	41    	1688            	
                	42    	1697            	
                	43    	1700            	
                	44    	1704            	
                	45    	1795            	
                	46    	1798            	
                	47    	1795            	
                	48    	1806            	
                	49    	1809            	
                	50    	1817            	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2493            	
                	2     	2530            	
                	3     	2562            	
                	4     	2621            	
                	5     	2701            	
                	6     	2738            	
                	7     	2765            	
                	8     	2793            	
                	9     	2857            	
                	10    	2887            	
                	11    	2936            	
                	12    	2971            	
                	13    	3152            	
                	14    	3231            	
                	15    	3272            	
                	16    	3315            	
                	17    	3382            	
