A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	6     	1179            	
                	7     	1170            	
                	8     	1197            	
                	9     	1199            	
                	10    	1195            	
                	11    	1194            	
                	12    	1197            	
                	13    	1202            	
                	14    	1206            	
                	15    	1215            	
                	16    	1228            	
                	17    	1856            	
                	18    	1599            	
                	19    	1539            	
                	20    	1517            	
                	21    	1505            	
                	22    	1505            	
                	23    	1509            	
                	24    	1521            	
                	25    	1540            	
                	26    	1551            	
                	27    	1584            	
                	28    	1616            	
                	29    	1638            	
                	30    	1691            	
                	31    	1720            	
                	32    	1750            	
                	33    	1773            	
                	34    	1820            	
                	35    	1886            	
                	36    	1928            	
                	37    	1950            	
                	38    	1998            	
                	39    	2078            	
                	40    	2114            	
                	41    	2158            	
                	42    	2182            	
                	43    	2186            	
                	44    	2263            	
                	45    	2291            	
                	46    	2308            	
                	47    	2342            	
                	48    	2385            	
                	49    	2409            	
                	50    	2473            	

H3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1440            	
                	2     	1327            	
                	3     	1226            	
                	4     	1159            	
                	5     	1120            	
                	6     	1089            	
                	7     	1078            	
                	8     	1090            	
                	9     	1076            	
                	10    	1068            	
                	11    	1061            	
                	12    	1067            	
                	13    	1066            	
                	14    	1064            	
                	15    	1074            	
                	16    	1070            	
                	17    	1688            	
                	18    	1480            	
                	19    	1431            	
                	20    	1406            	
                	21    	1402            	
                	22    	1404            	
                	23    	1402            	
                	24    	1414            	
                	25    	1425            	
                	26    	1441            	
                	27    	1465            	
                	28    	1492            	
                	29    	1519            	
                	30    	1535            	
                	31    	1555            	
                	32    	1598            	
                	33    	1642            	
                	34    	1659            	
                	35    	1712            	
                	36    	1742            	
                	37    	1778            	
                	38    	1851            	
                	39    	1920            	
                	40    	1961            	
                	41    	1997            	
                	42    	2019            	
                	43    	2041            	
                	44    	2099            	
                	45    	2143            	
                	46    	2157            	
                	47    	2219            	
                	48    	2254            	
                	49    	2297            	
                	50    	2322            	

