C1, FAM, Unknown	Cycles	Fluorescence (R)	
                	13    	943             	
                	14    	1217            	
                	15    	1108            	
                	16    	1061            	
                	17    	1035            	
                	18    	1029            	
                	19    	1030            	
                	20    	1030            	
                	21    	1045            	
                	22    	1055            	
                	23    	1073            	
                	24    	1100            	
                	25    	1121            	
                	26    	1151            	
                	27    	1191            	
                	28    	1243            	
                	29    	1272            	
                	30    	1300            	
                	31    	1332            	
                	32    	1363            	
                	33    	1394            	
                	34    	1439            	
                	35    	1469            	
                	36    	1492            	
                	37    	1528            	
                	38    	1543            	
                	39    	1597            	
                	40    	1624            	
                	41    	1661            	
                	42    	1762            	
                	43    	1802            	
                	44    	1813            	
                	45    	1821            	
                	46    	1842            	
                	47    	1885            	
                	48    	1925            	
                	49    	1962            	
                	50    	2002            	

F3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1493            	
                	2     	1386            	
                	3     	1274            	
                	4     	1199            	
                	5     	1144            	
                	6     	1106            	
                	7     	1080            	
                	8     	1055            	
                	9     	1041            	
                	10    	1035            	
                	11    	1026            	
                	12    	1012            	
                	13    	1006            	
                	14    	1370            	
                	15    	1219            	
                	16    	1164            	
                	17    	1134            	
                	18    	1119            	
                	19    	1113            	
                	20    	1107            	
                	21    	1126            	
                	22    	1141            	
                	23    	1154            	
                	24    	1179            	
                	25    	1211            	
                	26    	1250            	
                	27    	1279            	
                	28    	1306            	
                	29    	1348            	
                	30    	1400            	
                	31    	1445            	
                	32    	1485            	
                	33    	1538            	
                	34    	1558            	
                	35    	1575            	
                	36    	1599            	
                	37    	1661            	
                	38    	1699            	
                	39    	1753            	
                	40    	1829            	
                	41    	1855            	
                	42    	1865            	
                	43    	1896            	
                	44    	1911            	
                	45    	1940            	
                	46    	2016            	
                	47    	2124            	
                	48    	2151            	
                	49    	2231            	
                	50    	2243            	

G3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1614            	
                	2     	1509            	
                	3     	1397            	
                	4     	1311            	
                	5     	1254            	
                	6     	1218            	
                	7     	1185            	
                	8     	1157            	
                	9     	1141            	
                	10    	1129            	
                	11    	1115            	
                	12    	1108            	
                	13    	1102            	
                	14    	1380            	
                	15    	1252            	
                	16    	1203            	
                	17    	1180            	
                	18    	1162            	
                	19    	1149            	
                	20    	1137            	
                	21    	1138            	
                	22    	1129            	
                	23    	1118            	
                	24    	1115            	
                	25    	1126            	
                	26    	1128            	
                	27    	1123            	
                	28    	1132            	
                	29    	1162            	
                	30    	1161            	
                	31    	1165            	
                	32    	1169            	
                	33    	1199            	
                	34    	1193            	
                	35    	1199            	
                	36    	1201            	
                	37    	1193            	
                	38    	1194            	
                	39    	1202            	
                	40    	1212            	
                	41    	1206            	
                	42    	1204            	
                	43    	1209            	
                	44    	1245            	
                	45    	1256            	
                	46    	1262            	
                	47    	1260            	
                	48    	1255            	
                	49    	1255            	
                	50    	1251            	

