C1, FAM, Unknown	Cycles	Fluorescence (R)	
                	18    	2617            	
                	19    	2643            	
                	20    	2942            	
                	21    	2942            	
                	22    	2950            	
                	23    	2975            	
                	24    	2995            	
                	25    	3010            	
                	26    	3040            	
                	27    	3020            	
                	28    	3034            	
                	29    	3047            	
                	30    	3052            	
                	31    	3068            	
                	32    	3078            	
                	33    	3132            	
                	34    	3146            	
                	35    	3208            	
                	36    	3202            	
                	37    	3501            	
                	38    	3523            	
                	39    	3538            	
                	40    	3553            	
                	41    	3566            	
                	42    	3628            	
                	43    	3661            	
                	44    	3730            	
                	45    	3752            	
                	46    	3755            	
                	47    	3773            	
                	48    	3777            	
                	49    	3825            	
                	50    	3838            	

F3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2267            	
                	2     	2289            	
                	3     	2331            	
                	4     	2356            	
                	5     	2380            	
                	6     	2532            	
                	7     	2528            	
                	8     	2575            	
                	9     	2606            	
                	10    	2627            	
                	11    	2647            	
                	12    	2703            	
                	13    	2788            	
                	14    	2811            	
                	15    	2832            	
                	16    	2871            	
                	17    	2896            	
                	18    	2904            	
                	19    	2928            	
                	20    	2947            	
                	21    	2977            	
                	22    	2999            	
                	23    	3064            	
                	24    	3200            	
                	25    	3217            	
                	26    	3241            	
                	27    	3272            	
                	28    	3307            	
                	29    	3397            	
                	30    	3412            	
                	31    	3426            	
                	32    	3454            	
                	33    	3769            	
                	34    	3768            	
                	35    	3846            	
                	36    	3862            	
                	37    	3865            	
                	38    	3872            	
                	39    	3875            	
                	40    	3898            	
                	41    	3907            	
                	42    	3918            	
                	43    	3913            	
                	44    	3985            	
                	45    	3991            	
                	46    	4022            	
                	47    	4026            	
                	48    	4037            	
                	49    	4090            	
                	50    	4099            	

G3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1251            	
                	2     	1253            	
                	3     	1255            	
                	4     	1246            	
                	5     	1249            	
                	6     	1258            	
                	7     	1249            	
                	8     	1249            	
                	9     	1244            	
                	10    	1247            	
                	11    	1280            	
                	12    	1313            	
                	13    	1312            	
                	14    	1304            	
